id,user_id,game_name,duration_mins,skipped_meals,skipped_sleep,started_at
3061252c-9b77-4369-b16e-018cfdf53b13,4a0bc4b3-3ae8-4296-b637-bc39d0fbd76e,League of Legends,309,0,0,2026-06-11T14:53:51.006955+00:00
a5568ee1-af64-4f74-b8b7-d678d5e5994d,4a0bc4b3-3ae8-4296-b637-bc39d0fbd76e,Apex Legends,261,1,1,2026-06-12T14:53:51.006955+00:00
5d5f1de4-7151-45de-98a7-95758971b80f,4a0bc4b3-3ae8-4296-b637-bc39d0fbd76e,Genshin Impact,498,1,0,2026-06-13T14:53:51.006955+00:00
ef0c6f1f-6975-4891-9b24-83e4c4d77c5c,4a0bc4b3-3ae8-4296-b637-bc39d0fbd76e,WoW,494,0,0,2026-06-14T14:53:51.006955+00:00
6be912bf-3c47-40b2-87f0-d2f5b609d4a2,4a0bc4b3-3ae8-4296-b637-bc39d0fbd76e,WoW,479,1,1,2026-06-15T14:53:51.006955+00:00
b436e19f-4795-46a8-a38b-8bd7168e53b1,4a0bc4b3-3ae8-4296-b637-bc39d0fbd76e,WoW,555,0,1,2026-06-16T14:53:51.006955+00:00
88de3eea-a0e2-420e-aff1-7e4e54b9f37d,4a0bc4b3-3ae8-4296-b637-bc39d0fbd76e,Apex Legends,488,1,1,2026-06-17T14:53:51.006955+00:00
5300d0ee-5108-4c4d-92e0-44b76fa36148,4a0bc4b3-3ae8-4296-b637-bc39d0fbd76e,Valorant,464,1,0,2026-06-18T14:53:51.006955+00:00
4724ab2d-b22d-442c-af5d-813d9715c660,4a0bc4b3-3ae8-4296-b637-bc39d0fbd76e,Valorant,461,1,1,2026-06-19T14:53:51.006955+00:00
63adeb17-1129-495b-9c37-ad65ec55192f,4a0bc4b3-3ae8-4296-b637-bc39d0fbd76e,Genshin Impact,358,1,1,2026-06-20T14:53:51.006955+00:00
ae229ebe-c127-4f74-8f3d-e7eef1aa3a8b,4a0bc4b3-3ae8-4296-b637-bc39d0fbd76e,League of Legends,452,0,1,2026-06-21T14:53:51.006955+00:00
ea621c7f-6ab6-43fd-8de2-25b0bbb3fc05,4a0bc4b3-3ae8-4296-b637-bc39d0fbd76e,WoW,549,0,1,2026-06-22T14:53:51.006955+00:00
cfe745c7-4239-424c-8eb6-f9a8f6419dc7,4a0bc4b3-3ae8-4296-b637-bc39d0fbd76e,League of Legends,443,0,0,2026-06-23T14:53:51.006955+00:00
589ff31f-6181-410a-8aaa-7052076a86f6,4a0bc4b3-3ae8-4296-b637-bc39d0fbd76e,Valorant,583,0,0,2026-06-24T14:53:51.006955+00:00
116e430a-a762-446c-b9b9-4e78b1a9dfb4,ebdcd770-d442-4618-a2ed-1772dc18ccf5,Apex Legends,33,0,0,2026-06-11T14:53:51.006955+00:00
6945592d-5a05-45f5-afbc-6ac05d944b32,ebdcd770-d442-4618-a2ed-1772dc18ccf5,Genshin Impact,59,0,0,2026-06-12T14:53:51.006955+00:00
bcea588f-41f6-49e8-8f0f-758dbedcf8a8,ebdcd770-d442-4618-a2ed-1772dc18ccf5,Genshin Impact,54,0,0,2026-06-13T14:53:51.006955+00:00
e3f4f41f-06ae-4e3a-8809-71ac3a6a5175,ebdcd770-d442-4618-a2ed-1772dc18ccf5,Apex Legends,26,0,0,2026-06-14T14:53:51.006955+00:00
9ac270a3-5157-4291-85ff-713b7d384672,ebdcd770-d442-4618-a2ed-1772dc18ccf5,Valorant,48,0,0,2026-06-15T14:53:51.006955+00:00
b50faa43-ab7f-4508-bc02-a0e0f3229d16,ebdcd770-d442-4618-a2ed-1772dc18ccf5,Genshin Impact,83,0,0,2026-06-16T14:53:51.006955+00:00
c2f0e106-4257-4f2b-8e08-e1d8c54c6e8e,ebdcd770-d442-4618-a2ed-1772dc18ccf5,League of Legends,58,0,0,2026-06-17T14:53:51.006955+00:00
367579f0-61e8-4840-806d-f9d9d5c26693,ebdcd770-d442-4618-a2ed-1772dc18ccf5,Apex Legends,27,0,0,2026-06-18T14:53:51.006955+00:00
0f92e528-1a19-4cd9-a7ef-7b5e9b8e20db,ebdcd770-d442-4618-a2ed-1772dc18ccf5,Genshin Impact,69,0,0,2026-06-19T14:53:51.006955+00:00
276db795-8c6c-47db-9fce-b89bf8f4b765,ebdcd770-d442-4618-a2ed-1772dc18ccf5,WoW,23,0,0,2026-06-20T14:53:51.006955+00:00
43d4627b-57f0-4d1f-8c80-6eaa95ebb216,ebdcd770-d442-4618-a2ed-1772dc18ccf5,WoW,58,0,0,2026-06-21T14:53:51.006955+00:00
1daaf57b-a551-4e87-9164-ab16d4bf1fb0,ebdcd770-d442-4618-a2ed-1772dc18ccf5,League of Legends,78,0,0,2026-06-22T14:53:51.006955+00:00
9835f0e5-9546-4b56-817b-88c0327e8351,ebdcd770-d442-4618-a2ed-1772dc18ccf5,Valorant,89,0,0,2026-06-23T14:53:51.006955+00:00
d78cc2b0-9904-4cf2-bd08-b2c4e7d5900c,ebdcd770-d442-4618-a2ed-1772dc18ccf5,Genshin Impact,72,0,0,2026-06-24T14:53:51.006955+00:00
c94e267d-93f9-4709-b86f-b64cea375290,6f1d63a4-f581-42df-aeb3-8e0a091ae2ce,WoW,76,0,0,2026-06-11T14:53:51.006955+00:00
6cc3876e-8758-4c53-a749-0bd3e1fe08c0,6f1d63a4-f581-42df-aeb3-8e0a091ae2ce,Valorant,49,0,0,2026-06-12T14:53:51.006955+00:00
0afa65c1-f593-4ed0-ac93-ccb96e969373,6f1d63a4-f581-42df-aeb3-8e0a091ae2ce,Genshin Impact,89,0,0,2026-06-13T14:53:51.006955+00:00
bde427c2-971d-4ba3-8001-d06c1d7b8f44,6f1d63a4-f581-42df-aeb3-8e0a091ae2ce,Genshin Impact,56,0,0,2026-06-14T14:53:51.006955+00:00
da2a4117-11e8-46a7-8b12-96515dbcc78d,6f1d63a4-f581-42df-aeb3-8e0a091ae2ce,League of Legends,75,0,0,2026-06-15T14:53:51.006955+00:00
b46dae75-dbe2-475d-a286-87a30fb41244,6f1d63a4-f581-42df-aeb3-8e0a091ae2ce,Valorant,85,0,0,2026-06-16T14:53:51.006955+00:00
3cb7619e-7289-4376-9d2a-6b13724d4cbb,6f1d63a4-f581-42df-aeb3-8e0a091ae2ce,Valorant,65,0,0,2026-06-17T14:53:51.006955+00:00
1303a32a-453f-46a6-bef4-5386f676c18f,6f1d63a4-f581-42df-aeb3-8e0a091ae2ce,League of Legends,79,0,0,2026-06-18T14:53:51.006955+00:00
35952ead-92a9-41d3-80b5-d6a03fbf6ea3,6f1d63a4-f581-42df-aeb3-8e0a091ae2ce,Apex Legends,38,0,0,2026-06-19T14:53:51.006955+00:00
e434b8ed-528b-4189-87bb-75608a115f21,6f1d63a4-f581-42df-aeb3-8e0a091ae2ce,Valorant,88,0,0,2026-06-20T14:53:51.006955+00:00
214ce328-1a0a-490e-9434-e896cb89350c,6f1d63a4-f581-42df-aeb3-8e0a091ae2ce,Genshin Impact,42,0,0,2026-06-21T14:53:51.006955+00:00
7dde49e3-b587-4298-8859-4400580e58c4,6f1d63a4-f581-42df-aeb3-8e0a091ae2ce,WoW,61,0,0,2026-06-22T14:53:51.006955+00:00
4040b4bb-5d9a-4b35-9f19-be1f3ddbc9a2,6f1d63a4-f581-42df-aeb3-8e0a091ae2ce,Apex Legends,29,0,0,2026-06-23T14:53:51.006955+00:00
cb62c720-d94b-4775-bd6d-c75d2d1361d2,6f1d63a4-f581-42df-aeb3-8e0a091ae2ce,Genshin Impact,27,0,0,2026-06-24T14:53:51.006955+00:00
6fe0a650-dbf6-41c4-a751-ae9103c7dc53,b6833d54-1b64-4bab-a291-8cc54c90e020,League of Legends,67,0,0,2026-06-11T14:53:51.006955+00:00
406bd7ae-e54f-4ef8-a3d6-1bcd574fb1cc,b6833d54-1b64-4bab-a291-8cc54c90e020,League of Legends,73,0,0,2026-06-12T14:53:51.006955+00:00
d72f7b22-4551-4c30-9a84-b1c92297f739,b6833d54-1b64-4bab-a291-8cc54c90e020,League of Legends,56,0,0,2026-06-13T14:53:51.006955+00:00
722217b8-05bb-49f8-bef7-beea69029e40,b6833d54-1b64-4bab-a291-8cc54c90e020,Genshin Impact,29,0,0,2026-06-14T14:53:51.006955+00:00
224d2aab-0ae2-40b0-a85c-cef1f2b9aa47,b6833d54-1b64-4bab-a291-8cc54c90e020,WoW,27,0,0,2026-06-15T14:53:51.006955+00:00
f1446b29-1fa7-4721-a5c4-d283064af320,b6833d54-1b64-4bab-a291-8cc54c90e020,Valorant,47,0,0,2026-06-16T14:53:51.006955+00:00
0076f18a-9587-40a5-934e-40aa371ff8b4,b6833d54-1b64-4bab-a291-8cc54c90e020,Genshin Impact,36,0,0,2026-06-17T14:53:51.006955+00:00
